CHARTER NO	NAME	CITY	STATE	CERT	RSSD
24966	Neuberger Berman Trust Company of Delaware National Association	Wilmington	DE	59047	4146830
23421	New Covenant Trust Company, National Association	Jeffersonville	IN	34732	2641827
24858	New Horizon Bank, National Association	Powhatan	VA	58857	3816154
16840	New Omni Bank, National Association	Alhambra	CA	23086	300063
14240	Newfield National Bank	Newfield	NJ	14646	632410
6112	Newfirst National Bank	El Campo	TX	3183	938859
5073	NexTier Bank, National Association	Kittanning	PA	7900	18827
24107	Nicolet National Bank	Green Bay	WI	57038	2941068
23547	North Georgia National Bank	Calhoun	GA	34662	2769954
24626	Northern California National Bank	Chico	CA	58224	3435948
6863	Northern Interstate Bank, National Association	Norway	MI	13784	289056
24372	Northwestern Bank, National Association	Dilworth	MN	9746	207555
24849	Oak View National Bank	Warrenton	VA	58827	3816190
25150	OceanFirst Bank, National Association	Toms River	NJ 	28359	85472
24730	Old Dominion National Bank	North Garden	VA	58504	3610718
8846	Old National Bank	Evansville	IN	3832	208244
24646	Old Plank Trail Community Bank, National Association	Mokena	IL	58314	3404207
23702	Old Point Trust & Financial Services, National Association	Newport News	VA	35248	2797210
4596	Old Second National Bank	Aurora	IL	3603	936136
7748	Ozona National Bank	Ozona	TX	3376	780263
20010	Pacific National Bank	Miami	FL	26299	577137
17967	Panola National Bank	Carthage	TX	24763	1013856
22545	Patriot Bank, National Association	Stamford	CT	33928	2236821
14418	Peoples National Bank of Kewanee	Kewanee	IL	926	823133
9408	Peoples National Bank, N.A.	Mcleansboro	IL	3809	375043
25103	People's United Bank, National Association 	Bridgeport	CT 	27334	613307
20493	Pike National Bank	Mccomb	MS	26379	880332
15058	Pikes Peak National Bank	Colorado Springs	CO	17782	643658
21060	Pioneer Trust Bank, National Association	Salem	OR	19827	852973
1316	PNC Bank, National Association	Wilmington	DE	6384	817824
9924	Powell Valley National Bank	Jonesville	VA	6863	31826
17735	Progressive National Bank	Mansfield	LA	24443	675855
16405	Quail Creek Bank, National Association	Oklahoma City	OK	21848	507152
22905	Quantum National Bank	Suwanee	GA	34110	2354387
6207	Queensborough National Bank & Trust Company	Louisville	GA	2138	960935
24583	Rabobank, National Association	Roseville	CA	23364	877369
5886	Ramsey National Bank	Devils Lake	ND	3914	987352
3717	Range Bank, National Association	Marquette	MI	5072	355559
24914	Raymond James Bank, National Association	St. Petersburg	FL 	33893	2193616
24771	Raymond James Trust, National Association	St. Petersburg	FL	33879	2163477
23416	RBC Bank (Georgia), National Association	Atlanta	GA	26342	3783948
24559	Recontrust Company, National Association	Simi Valley	CA	58026	3313943
15482	Relyance Bank, National Association	Pine Bluff	AR	19371	49241
5815	Resource Bank, National Association	Dekalb	IL	3701	235530
24920	Rockefeller Trust Company, National Association	New York	NY	26622	62110
20948	Safra National Bank of New York	New York	NY	26876	918918
25022	Santander Bank, National Association	Wilmington	DE 	29950	722777
21530	Saratoga National Bank and Trust Company	Saratoga Springs	NY	27290	1211371
12810	Savannah Bank National Association	Savannah	NY	14619	647414
24150	Schaumburg Bank & Trust Company, National Association	Schaumburg	IL	57103	2970657
14838	Seacoast National Bank	Stuart	FL	131	34537
24649	Seaside National Bank & Trust	Orlando	FL	58328	3487518
24310	Securian Trust Company, National Association	St. Paul	MN	57405	3089752
14578	Security First National Bank of Hugo	Hugo	OK	432	422657
13650	Security National Bank	Witt	IL	3845	151546
15379	Security National Bank of Omaha	Omaha	NE	19213	844053
23226	Security National Bank of South Dakota	Dakota Dunes	SD	34394	2529176
24010	Security National Trust Co.	Wheeling	WV	57081	2912750
12529	Shamrock Bank, National Association	Coalgate	OK	4236	300353
24264	Signature Bank, National Association	Toledo	OH	57269	3076604
10834	Skyline National Bank	Independence	VA	6861	90328
9987	SNB Bank, National Association	Shattuck	OK	4196	394156
24737	Solera National Bank	Lakewood	CO	58534	3397233
24430	South Central Bank, National Association	Chicago	IL	19536	18135
11833	SouthCrest Bank, National Association	Atlanta	GA	2124	165039
15651	Southeast First National Bank	Summerville	GA	19819	563934
14012	Southtrust Bank, National Association	George West	TX	13919	521158
12346	Southwest National Bank	Wichita	KS	4801	499855
23081	Southwestern National Bank	Houston	TX	34319	2625724
15198	St. Martin National Bank	St. Martin	MN	18937	856159
18045	State Street Bank and Trust Company National Association	New York	NY	24938	93619
18607	State Street Bank and Trust Company of California, National Association	Los Angeles	CA	26474	812164
23457	Stearns Bank Holdingford National Association	Holdingford	MN	10160	1011656
15576	Stearns Bank National Association	St. Cloud	MN	10988	141556
23458	Stearns Bank Upsala National Association	Upsala	MN	9336	208459
25075	Sterling National Bank	Montebello	NY 	30337	125471
24955	Stifel Trust Company Delaware, National Association	Wilmingtion	DE	59043	4125778
24627	Stifel Trust Company, National Association	St Louis	MO 	33785	2713920
14369	Stillman Banccorp National Association	Stillman Valley	IL	9263	407645
14302	Stockmens National Bank in Cotulla	Cotulla	TX	14864	818652
12044	Stride Bank, National Association	Enid	OK	4091	278555
12095	Stroud National Bank	Stroud	OK	4204	521952
24833	Summit Bank, National Association	Panama City	FL	58786	3696936
18154	Summit National Bank	Hulett	WY	25054	78559
4742	Sunflower Bank, National Association	Denver	CO	4767	474759
14991	Sunrise Banks, National Association	St. Paul	MN	18561	860053
9087	Superior National Bank & Trust Company	Hancock	MI	5058	245557
24350	Synovus Trust Company, National Association	Columbus	GA	33962	2262718
24467	T Bank, National Association	Dallas	TX	57703	3284445
23253	TCF National Bank	Sioux Falls	SD	28330	266271
23363	TCM Bank, National Association	Tampa	FL 	34535	2687487
22611	TD Bank USA, National Association	Wilmington	DE	33947	2121196
24096	TD Bank, National Association	Wilmington	DE	18409	497404
20157	Terrabank National Association	Miami	FL	26442	238737
25114	Texan Bank, National Association	Houston	TX 	58671	3640359
10476	Texana Bank, National Association	Linden	TX	3302	809650
24693	Texas Advantage Community Bank, National Association	Alvin	TX	58450	3485215
23248	Texas Capital Bank, National Association	Dallas	TX	34383	2618780
24640	Texas Citizens Bank, National Association	Pasadena	TX	58319	3440830
10420	Texas Gulf Bank, National Association	Houston	TX	3206	514655
4701	Texas Heritage National Bank	Daingerfield	TX	3161	824653
11879	Texas National Bank	Mercedes	TX	3337	497954
22807	Texas National Bank	Sweetwater	TX	34014	1435092
18594	Texas National Bank of Jacksonville	Jacksonville	TX	26181	739355
12308	Texas Republic Bank, National Association	Frisco	TX	3400	735067
24465	TexStar National Bank	Universal City	TX	57704	3211937
16799	The American National Bank of Mount Pleasant	Mount Pleasant	TX	22942	764067
17043	The American National Bank of Texas	Terrell	TX	23474	599764
3711	The Atlanta National Bank	Atlanta	IL	3601	672238
13770	The Bank National Association	McAlester	OK	4146	829050
24526	The Bank of New York Mellon Trust Company, National Association	Los Angeles	CA	23472	398668
9734	The Bradford National Bank of Greenville	Greenville	IL	3799	720746
7827	The Brady National Bank	Brady	TX	3109	101952
13678	The Brenham National Bank	Brenham	TX	3113	227357
2311	The Camden National Bank	Camden	ME	4255	593007
3817	The Canandaigua National Bank and Trust Company	Canandaigua	NY	6985	161602
12158	The Central National Bank of Poteau	Poteau	OK	4181	459354
23690	The Chicago Trust Company, National Association	Lake Forest	IL	35063	2719810
10034	The Citizens First National Bank of Storm Lake	Storm Lake	IA	4511	424240
10789	The Citizens National Bank	Greenleaf	KS	4678	991555
11573	The Citizens National Bank of Bluffton	Bluffton	OH	6531	738013
10216	The Citizens National Bank of Hammond	Hammond	NY	14820	855303
4900	The Citizens National Bank of Hillsboro	Hillsboro	TX	3255	184656
3988	The Citizens National Bank of Lebanon	Lebanon	KY	2753	641449
5259	The Citizens National Bank of McConnelsville	McConnelsville	OH	6638	685023
7266	The Citizens National Bank of Meridian	Meridian	MS	4993	69333
13692	The Citizens National Bank of Park Rapids	Park Rapids	MN	5223	877752
14255	The Citizens National Bank of Quitman	Quitman	GA	14731	774235
11544	The Citizens National Bank of Somerset	Somerset	KY	2725	410917
13847	The Citizens National Bank of Woodsfield	Woodsfield	OH	6732	386825
5753	The City National Bank and Trust Company of Lawton, Oklahoma	Lawton	OK	4132	294751
5276	The City National Bank of Colorado City	Colorado City	TX	3144	799854
8745	The City National Bank of Metropolis	Metropolis	IL	3814	298245
10806	The City National Bank of San Saba	San Saba	TX	5518	714165
3989	The City National Bank of Sulphur Springs	Sulphur Springs	TX	5544	596062
5275	The City National Bank of Taylor	Taylor	TX	5548	181963
994	The Clinton National Bank	Clinton	IA	4439	773443
8573	The Commercial National Bank of Brady	Brady	TX	3110	42354
10536	The Conway National Bank	Conway	SC	2102	631422
1323	The Delaware National Bank of Delhi	Delhi	NY	7025	236603
2515	The Ephrata National Bank	Ephrata	PA	7493	425911
6609	The Fairfield National Bank	Fairfield	IL	3792	640246
8606	The Falls City National Bank	Falls City	TX	3193	441050
9767	The Farmers and Merchants National Bank of Fairview	Fairview	OK	4097	73152
8221	The Farmers and Merchants National Bank of Nashville	Nashville	IL	3821	513546
12456	The Farmers National Bank	Bowling Green	KY	2769	183846
3654	The Farmers' National Bank of Canfield	Canfield	OH	6540	680813
2409	The Farmers National Bank of Danville	Danville	KY	2740	785147
5481	The Farmers National Bank of Emlenton	Emlenton	PA	7875	119528
4271	The Farmers National Bank of Lebanon	Lebanon	KY	2754	575348
8345	The Fayette County National Bank of Fayetteville	Fayetteville	WV	6762	488420
2488	The First Central National Bank of St. Paris	St. Paris	OH	15214	538222
18783	The First Citizens National Bank of Upper Sandusky	Upper Sandusky	OH	14355	230423
12094	The First Farmers National Bank of Waurika	Waurika	OK	4222	353957
12850	The First Liberty National Bank	Liberty	TX	3301	629353
7379	The First National Bank	Mattoon	IL	3817	388940
4994	The First National Bank	Vandalia	IL	3840	137447
3806	The First National Bank & Trust Co. of Iron Mountain	Iron Mountain	MI	5062	251558
5547	The First National Bank and Trust Co.	Chickasha	OK	4062	154154
2725	The First National Bank and Trust Company	Beloit	WI	5285	207845
7115	The First National Bank and Trust Company of Broken Arrow	Broken Arrow	OK	4050	145554
5252	The First National Bank and Trust Company of Miami	Miami	OK	4148	837158
324	The First National Bank and Trust Company of Newtown	Newtown	PA	7658	1007417
11001	The First National Bank and Trust Company of Okmulgee	Okmulgee	OK	4170	634955
4704	The First National Bank and Trust Company of Vinita	Vinita	OK	4218	288358
14209	The First National Bank at Paris	Paris	AR	14534	45047
14296	The First National Bank at St. James	St. James	MN	14853	794653
14244	The First National Bank in Amboy	Amboy	IL	14674	656032
14268	The First National Bank in Carlyle	Carlyle	IL	14761	614948
13046	The First National Bank in Cooper	Cooper	TX	3149	767152
12636	The First National Bank in Creston	Creston	IA	4444	214843
14072	The First National Bank in Falfurrias	Falfurrias	TX	14095	442655
20838	The First National Bank in Marlow	Marlow	OK	26260	17259
3393	The First National Bank in Sioux Falls	Sioux Falls	SD	4016	326858
14310	The First National Bank in Staunton	Staunton	IL	14924	126740
13579	The First National Bank in Tremont	Tremont	IL	3749	353546
14222	The First National Bank in Trinidad	Trinidad	CO	14584	474058
10823	The First National Bank of Absecon	Absecon	NJ	6442	188917
8293	The First National Bank of Allendale	Allendale	IL	12365	990642
6091	The First National Bank of Anson	Anson	TX	3078	366359
9183	The First National Bank of Arenzville	Arenzville	IL	3599	593333
5786	The First National Bank of Aspermont	Aspermont	TX	3079	138257
5316	The First National Bank of Assumption	Assumption	IL	3600	604033
10911	The First National Bank of Ava	Ava	IL	3761	858443
3533	The First National Bank of Ballinger	Ballinger	TX	3087	160454
13202	The First National Bank of Bangor	Bangor	WI	5337	627854
4093	The First National Bank of Bastrop	Bastrop	TX	3091	18050
2302	The First National Bank of Bellevue	Bellevue	OH	6528	243414
4241	The First National Bank of Bellville	Bellville	TX	3099	91754
3231	The First National Bank of Beloit	Beloit	KS	4630	1011553
5582	The First National Bank of Bemidji	Bemidji	MN	5093	363657
8588	The First National Bank of Blanchester	Blanchester	OH	6530	735414
8830	The First National Bank of Brooksville	Brooksville	KY	2682	798512
10397	The First National Bank of Brownstown	Brownstown	IL	3770	207041
7429	The First National Bank of Brundidge	Brundidge	AL	2786	465337
11622	The First National Bank of Buhl	Mt. Iron	MN	5105	108652
4934	The First National Bank of Carmi	Carmi	IL	3777	209148
12395	The First National Bank of Cokato	Cokato	MN	5115	280558
8322	The First National Bank of Coleraine	Coleraine	MN	5117	311658
6879	The First National Bank of Coweta	Coweta	OK	4071	61953
13802	The First National Bank of Dennison	Dennison	OH	6574	935719
9773	The First National Bank of Dighton	Dighton	KS	4654	636753
9681	The First National Bank of Dozier	Dozier	AL	2794	496434
6487	The First National Bank of Dryden	Dryden	NY	7031	241009
7534	The First National Bank of Eagle Lake	Eagle Lake	TX	3179	651952
8575	The First National Bank of Eldorado	Eldorado	TX	3184	665258
8757	The First National Bank of Elk River	Elk River	MN	5136	970055
6707	The First National Bank of Elmer	Elmer	NJ	6464	609010
8561	The First National Bank of Ely	Ely	NV	2273	450669
12739	The First National Bank of Evant	Evant	TX	3190	379153
9771	The First National Bank of Fairfax	Fairfax	MN	5142	938354
11571	The First National Bank of Fleming	Fleming	CO	3018	306056
12141	The First National Bank of Fletcher	Fletcher	OK	4098	185251
7045	The First National Bank of Floydada	Floydada	TX	3197	393252
1950	The First National Bank of Fort Smith	Fort Smith	AR	3864	397540
8624	The First National Bank of Frederick	Frederick	SD	3985	288152
86	The First National Bank of Germantown	Germantown	OH	6592	505916
9262	The First National Bank of Gilbert	Gilbert	MN	5150	975452
5288	The First National Bank of Gilmer	Gilmer	TX	3218	445955
8521	The First National Bank of Gordon	Gordon	NE	5410	3252
3727	The First National Bank of Granbury	Granbury	TX	3228	329952
12982	The First National Bank of Grayson	Grayson	KY	2695	610913
1083	The First National Bank of Groton	Groton	NY	7085	917500
7592	The First National Bank of Hartford	Hartford	AL	2804	112332
8671	The First National Bank of Hartford	Hartford	WI	5297	742944
11822	The First National Bank of Harveyville	Harveyville	KS	4683	931458
12995	The First National Bank of Hebbronville	Hebbronville	TX	3248	173959
6906	The First National Bank of Henning	Ottertail	MN	5162	23456
10566	The First National Bank of Hooker	Hooker	OK	4123	816256
12384	The First National Bank of Hope	Hope	KS	4690	870856
6922	The First National Bank of Hughes Springs	Hughes Springs	TX	3268	849357
8489	The First National Bank of Hugo	Hugo	CO	3029	276551
3180	The First National Bank of Hutchinson	Hutchinson	KS	4697	754853
21165	The First National Bank of Izard County	Calico Rock	AR	11252	379649
9320	The First National Bank of Jackson	Jackson	KY	2698	620015
7768	The First National Bank of Jeanerette	Jeanerette	LA	4290	622037
8161	The First National Bank of Johnson	Johnson	NE	5422	563457
5932	The First National Bank of Kemp	Kemp	TX	3281	608451
347	The First National Bank of Lacon	Lacon	IL	3688	824738
11312	The First National Bank of Lawrence County at Walnut Ridge	Walnut Ridge	AR	3896	799948
6921	The First National Bank of Le Center	Le Center	MN	5180	986551
6171	The First National Bank of Lindsay	Lindsay	OK	4134	296858
10598	The First National Bank of Lipan	Lipan	TX	3303	811457
3962	The First National Bank of Litchfield	Litchfield	IL	3807	370347
6169	The First National Bank of Livingston	Livingston	TX	3305	630658
13126	The First National Bank of Long Island	Glen Head	NY	7072	837000
11798	The First National Bank of Louisburg	Louisburg	KS	4722	132451
7605	The First National Bank of Manchester	Manchester	KY	2708	719610
5528	The First National Bank of Manchester	Manchester	TN	4951	290230
3455	The First National Bank of Manning	Manning	IA	4477	818540
46	The First National Bank of McConnelsville	McConnelsville	OH	6637	44929
15765	The First National Bank of McHenry	McHenry	IL	20081	231336
6488	The First National Bank of McIntosh	McIntosh	MN	5196	988256
9810	The First National Bank of Mertzon	Mertzon	TX	3339	500256
2221	The First National Bank of Middle Tennessee	McMinnville	TN	4952	87234
9050	The First National Bank of Milaca	Milaca	MN	5198	924357
9784	The First National Bank of Monterey	Monterey	IN	4364	44040
5774	The First National Bank of Moody	Moody	TX	3351	108269
12947	The First National Bank of Moose Lake	Moose Lake	MN	5214	706058
13102	The First National Bank of Mount Dora	Mount Dora	FL	3579	61832
3959	The First National Bank of Nevada, Missouri	Nevada	MO	4598	827355
2073	The First National Bank of Northfield	Northfield	MN	5218	782351
11754	The First National Bank of Okawville	Okawville	IL	3826	333940
8039	The First National Bank of Oneida	Oneida	TN	4958	966731
228	The First National Bank of Orwell	Orwell	VT	6280	177500
6837	The First National Bank of Osakis	Osakis	MN	5221	726458
1154	The First National Bank of Ottawa	Ottawa	IL	3719	856243
11343	The First National Bank of Pandora	Pandora	OH	6671	571920
5224	The First National Bank of Pawnee	Pawnee	OK	4177	639651
9721	The First National Bank of Peterstown	Peterstown	WV	6787	719030
4155	The First National Bank of Primghar	Primghar	IA	4494	343248
11125	The First National Bank of Proctor	Proctor	MN	5232	731957
11706	The First National Bank of Quitaque	Quitaque	TX	3401	644963
6910	The First National Bank of Raymond	Raymond	IL	3830	421445
11348	The First National Bank of Russell Springs	Russell Springs	KY	2767	173641
9786	The First National Bank of Sandoval	Sandoval	IL	3834	122546
8808	The First National Bank of Scott City	Scott City	KS	4769	414652
3855	The First National Bank of Sedan	Sedan	KS	4770	195157
5628	The First National Bank of Shiner	Shiner	TX	5529	342362
5466	The First National Bank of Sonora	Sonora	TX	5531	591366
15000	The First National Bank of South Miami	South Miami	FL	17093	794336
7015	The First National Bank of Sparta	Sparta	IL	3837	246947
10161	The First National Bank of Spearville	Spearville	KS	4774	197254
3886	The First National Bank of St. Ignace	St. Ignace	MI	5074	381950
8094	The First National Bank of Stanton	Stanton	TX	5536	458665
9813	The First National Bank of Sterling City	Sterling City	TX	5538	411062
7217	The First National Bank of Stigler	Stigler	OK	4199	319458
11383	The First National Bank of Sycamore	Sycamore	OH	6706	553926
8114	The First National Bank of Syracuse	Syracuse	KS	4779	543459
8597	The First National Bank of Tahoka	Tahoka	TX	5546	467265
11019	The First National Bank of Tom Bean	Tom Bean	TX	5557	193162
13706	The First National Bank of Trinity	Trinity	TX	5559	479567
11305	The First National Bank of Wakefield	Wakefield	MI	5076	292850
6544	The First National Bank of Waseca	Waseca	MN	5270	837354
10180	The First National Bank of Waterloo	Waterloo	IL	3842	145545
5635	The First National Bank of Waverly	Waverly	OH	6725	263627
7899	The First National Bank of Waynesboro	Waynesboro	GA	2160	31134
2477	The First National Bank of Weatherford	Weatherford	TX	5575	614368
6830	The First National Bank of Williamson	Williamson	WV	6805	917630
10807	The First National Bank of Wynne	Wynne	AR	3897	988845
22949	The First, A National Banking Association	Hattiesburg	MS	34217	2385514
14757	The Fisher National Bank	Fisher	IL	17513	739832
23864	The Glenmede Trust Company, National Association	Philadelphia	PA	35317	2826017
24173	The Goldman Sachs Trust Company, National Association	Wilmington	DE	57337	3066025
11642	The Granger National Bank	Granger	TX	3232	272151
14035	The Granville National Bank	Granville	IL	13983	560830
2242	The Havana National Bank	Havana	IL	3677	940731
5842	The Home National Bank of Thorntown	Thorntown	IN	14225	696645
14351	The Hondo National Bank	Hondo	TX	15345	77253
644	The Honesdale National Bank	Honesdale	PA	7526	465618
7745	The Huntington National Bank	Columbus	OH	6560	12311
11913	The Idabel National Bank	Idabel	OK	4241	237954
7814	The Jacksboro National Bank	Jacksboro	TX	3275	924058
5614	The Karnes County National Bank of Karnes City	Karnes City	TX	3279	979759
13111	The Lamesa National Bank	Lamesa	TX	3292	623052
11715	The Lemont National Bank	Lemont	IL	3693	480330
13541	The Liberty National Bank in Paris	Paris	TX	3384	1669
13479	The Lincoln National Bank of Hodgenville	Hodgenville	KY	2750	553944
10079	The Litchfield National Bank	Litchfield	IL	3808	372444
1027	The Lyons National Bank	Lyons	NY	7151	323204
23202	The Malvern National Bank	Malvern	AR	14644	906241
7911	The Marion National Bank	Marion	KS	4728	167752
2449	The Merchants National Bank	Hillsboro	OH 	6605	701222
4860	The Midland National Bank of Newton	Newton	KS	4739	576653
6991	The Miners National Bank of Eveleth	Eveleth	MN	5141	43856
24827	The Mint National Bank	Kingwood	TX	58764	3821626
7194	The Morris County National Bank of Naples	Naples	TX	3358	770068
13198	The National Bank of Adams County of West Union	West Union	OH	6728	290922
14788	The National Bank of Andrews	Andrews	TX	17603	488653
12229	The National Bank of Blacksburg	Blacksburg	VA	6821	754929
1398	The National Bank of Coxsackie	Coxsackie	NY	7018	234506
22652	The National Bank of Indianapolis	Indianapolis	IN	33860	2132941
3147	The National Bank of Malvern	Malvern	PA	7590	977616
1195	The National Bank of Middlebury	Middlebury	VT	6275	173306
16226	The National Bank of Texas at Fort Worth	Fort Worth	TX	21329	406059
4107	The National Capital Bank of Washington	Washington	DC	2093	791821
676	The National Grand Bank of Marblehead	Marblehead	MA	2608	863607
1214	The National Iron Bank	Salisbury	CT	2496	1008209
929	The National Union Bank of Kinderhook	Kinderhook	NY	7128	313401
12471	The Neffs National Bank	Neffs	PA	7646	144913
7005	The Northumberland National Bank	Northumberland	PA	7666	70414
11780	The Old Exchange National Bank of Okawville	Okawville	IL	3827	411240
12267	The Old Point National Bank of Phoebus	Hampton	VA	6892	186221
9179	The Park National Bank	Newark	OH	6653	489623
7892	The Pauls Valley National Bank	Pauls Valley	OK	4173	454658
15733	The Pennsville National Bank	Pennsville	NJ	19978	828110
10051	The Peoples National Bank of Checotah	Checotah	OK	4059	942454
6667	The Peoples National Bank of Mount Pleasant	Mount Pleasant	OH	6649	484927
11595	The Perryton National Bank	Perryton	TX	3388	8462
5658	The Peshtigo National Bank	Peshtigo	WI	5317	257345
22926	The Private Trust Company, National Association	Cleveland	OH	34057	2328285
976	The Putnam County National Bank of Carmel	Carmel	NY	6990	287007
5413	The Rawlins National Bank	Rawlins	WY	2228	548052
5267	The Riddell National Bank	Brazil	IN	4318	319047
8905	The Salyersville National Bank	Salyersville	KY	2723	472018
13854	The Santa Anna National Bank	Santa Anna	TX	5520	521064
14315	The Security National Bank of Enid	Enid	OK	14966	119153
3124	The Security National Bank of Sioux City, Iowa	Sioux City	IA	4506	418249
13022	The State National Bank in West	West	TX	5580	494168
12543	The State National Bank of Big Spring	Big Spring	TX	3103	169354
12742	The State National Bank of Groom	Groom	TX	3237	460556
4137	The Stephenson National Bank and Trust	Marinette	WI	5306	598048
24092	The Tipton Latham Bank, National Association	Tipton	MO	1941	984856
22281	The Trust Company of Toledo, National Association	Holland	OH	33239	1820979
9803	The Turbotville National Bank	Turbotville	PA	7789	906410
22241	The University National Bank of Lawrence	Lawrence	KS	32606	1229198
12018	The Upstate National Bank	Ogdensburg	NY	13748	313009
2036	The Vinton County National Bank	McArthur	OH	6636	754826
5203	The Waggoner National Bank of Vernon	Vernon	TX	5569	548267
8694	The Yoakum National Bank	Yoakum	TX	5595	311265
22883	Thomasville National Bank	Thomasville	GA	34068	2344753
25143	TIB The Independent BankersBank, National Association	Farmers Branch	TX 	23647	529958
12437	Titan Bank, National Association	Mineral Wells	TX	3225	328357
24789	Touchmark National Bank	Alpharetta	GA	58687	3645840
16708	Town-Country National Bank	Camden	AL	22621	180537
15738	Tri City National Bank	Oak Creek	WI	18922	242444
17926	Triad Bank, National Association	Tulsa	OK	24677	283652
24397	Trinity Bank, National Association	Fort Worth	TX	57543	3185896
10523	Trustmark National Bank	Jackson	MS	4988	342634
24	U.S. Bank National Association	Cincinnati	OH	6548	504713
23412	U.S. Bank Trust Company, National Association	Portland	OR	34588	2567123
24090	U.S. Bank Trust National Association	Wilmington	DE	57047	2916963
23604	U.S. Bank Trust National Association SD	Sioux Falls	SD	34813	2667920
22874	UMB Bank & Trust, National Association	St. Louis	MO	34065	2337335
23920	UMB Bank, National Association	Kansas City	MO	8273	936855
24047	Unified Trust Company, National Association	Lexington	KY	35534	2924128
7236	Union National Bank	Elgin	IL	3661	963730
24346	United Bank & Trust National Association	Marshalltown	IA	57391	3103591
25160	United Midwest Savings Bank, National Association	Degraff	OH 	32441	809276
23981	United National Bank	Cairo	GA	35427	2914727
21008	Unity National Bank of Houston	Houston	TX	26351	853251
15790	Valley National Bank	Passaic	NJ	9396	229801
24121	Vanguard National Trust Company, National Association	Malvern	PA	57304	3045383
17174	Vast Bank, National Association	Tulsa	OK	23737	347956
13443	VeraBank, National Association	Henderson	TX	3250	56351
23616	Virginia National Bank	Charlottesville	VA	34755	2708122
12591	Vision Bank, National Association	Ada	OK	4029	241157
25073	Washington Federal Bank, National Association	Seattle                     	WA 	28088	656377
24685	Waterford Bank, National Association	Toledo	OH	58433	3588424
24469	Webster Bank, National Association	Waterbury	CT	18221	761806
17202	Wellington Trust Company, National Association	Boston	MA	23741	692704
11668	Wells Fargo Bank South Central, National Association	Houston	TX	5146	2362458
1	Wells Fargo Bank, National Association	Sioux Falls	SD	3511	451965
23201	Wells Fargo Delaware Trust Company, National Association	Wilmington	DE	34465	2531991
21099	Wells Fargo National Bank West	Las Vegas	NV 	27389	1225761
2597	Wells Fargo Trust Company, National Association	Ogden	UT	13718	688079
24185	West Texas National Bank	Midland	TX	22957	237066
24683	West Valley National Bank	Goodyear	AZ	58426	3480069
6352	Western National Bank	Cass Lake	MN	5110	278751
13116	Western National Bank	Duluth	MN	5131	127055
10971	Western National Bank	Chester	NE	4778	199351
23918	Wheaton College Trust Company, National Association	Wheaton	IL	57150	2960788
22859	Wilmington Trust, National Association	Wilmington	DE	34069	2265456
25142	Winter Park National Bank	Winter Park	FL 	59105	5143788
10865	WNB Financial, National Association	Winona	MN	5280	220059
16892	Woodforest National Bank	The Woodlands	TX	23220	412751
23926	Woodlands National Bank	Hinckley	MN	1417	980951
24343	Worthington National Bank	Arlington	TX	57414	3150205
14955	Zapata National Bank	Zapata	TX	18454	218261
4341	Zions Bancorporation, National Association	Salt Lake City	UT	2270	276579